gene	origin_window	deepest_ortholog_species	deepest_clade	n_species_with_ortholog	invertebrate_ortholog	cyclostome_ortholog	gnathostome_ortholog	in_scerevisiae	in_celegans	in_dmelanogaster	in_cintestinalis	in_csavignyi	in_eburgeri	in_pmarinus	in_cmilii	in_lchalumnae	in_drerio	in_xtropicalis	in_ggallus	in_mmusculus	dup_class4	provenance	arrangement	TF_subfamily	cluster_id
ELF4	after_R2	mmusculus	Mammalia	1	False	False	True	0	0	0	0	0	0	0	0	0	0	0	0	1	dispersed_ohnolog	ohnolog	dispersed	Ets	
ELF5	after_R2	cmilii	Chondrichthyes	4	False	False	True	0	0	0	0	0	0	0	1	0	0	1	1	1	clustered_cis_ohnolog	ohnolog	clustered	Ets	clust0031
ELK1	after_R2	cmilii	Chondrichthyes	4	False	False	True	0	0	0	0	0	0	0	1	0	1	1	0	1	dispersed_SSD	SSD	dispersed	Ets	
ELK3	R1_to_R2	eburgeri	Cyclostomata	6	False	True	True	0	0	0	0	0	1	0	1	1	0	1	1	1	dispersed_SSD	SSD	dispersed	Ets	
ELK4	after_R2	cmilii	Chondrichthyes	5	False	False	True	0	0	0	0	0	0	0	1	0	1	1	1	1	dispersed_SSD	SSD	dispersed	Ets	
EMX1	after_R2	cmilii	Chondrichthyes	5	False	False	True	0	0	0	0	0	0	0	1	0	1	1	1	1	dispersed_ohnolog	ohnolog	dispersed	Homeodomain	
EMX2	R1_to_R2	eburgeri	Cyclostomata	7	False	True	True	0	0	0	0	0	1	1	1	0	1	1	1	1	dispersed_ohnolog	ohnolog	dispersed	Homeodomain	
EN1	before_R1	celegans	Protostomia	10	True	True	True	0	1	1	1	0	1	1	1	0	1	1	1	1	dispersed_ohnolog	ohnolog	dispersed	Homeodomain	
EN2	R1_to_R2	eburgeri	Cyclostomata	5	False	True	True	0	0	0	0	0	1	0	0	0	1	1	1	1	dispersed_ohnolog	ohnolog	dispersed	Homeodomain	
EOMES	before_R1	celegans	Protostomia	8	True	False	True	0	1	1	1	0	0	0	1	0	1	1	1	1	dispersed_ohnolog	ohnolog	dispersed	T-box	
EPAS1	before_R1	celegans	Protostomia	11	True	True	True	0	1	1	1	0	1	1	1	1	1	1	1	1	dispersed_ohnolog	ohnolog	dispersed	bHLH	
ERF	before_R1	cintestinalis	Tunicata	7	True	True	True	0	0	0	1	0	1	0	0	1	1	1	1	1	dispersed_ohnolog	ohnolog	dispersed	Ets	
ERG	after_R2	cmilii	Chondrichthyes	5	False	False	True	0	0	0	0	0	0	0	1	0	1	1	1	1	clustered_cis_ohnolog	ohnolog	clustered	Ets	clust0033
ESR1	before_R1	dmelanogaster	Protostomia	10	True	True	True	0	0	1	1	0	1	1	1	1	1	1	1	1	dispersed_ohnolog	ohnolog	dispersed	Nuclear receptor	
ESR2	before_R1	dmelanogaster	Protostomia	9	True	True	True	0	0	1	1	0	1	1	1	0	1	1	1	1	dispersed_SSD	SSD	dispersed	Nuclear receptor	
ESRRA	before_R1	dmelanogaster	Protostomia	5	True	False	True	0	0	1	1	1	0	0	0	0	1	0	0	1	dispersed_ohnolog	ohnolog	dispersed	Nuclear receptor	
ESRRB	before_R1	dmelanogaster	Protostomia	9	True	True	True	0	0	1	1	0	1	1	1	0	1	1	1	1	dispersed_ohnolog	ohnolog	dispersed	Nuclear receptor	
ESRRG	before_R1	dmelanogaster	Protostomia	8	True	False	True	0	0	1	0	1	0	0	1	1	1	1	1	1	dispersed_ohnolog	ohnolog	dispersed	Nuclear receptor	
ESX1	after_R2	mmusculus	Mammalia	1	False	False	True	0	0	0	0	0	0	0	0	0	0	0	0	1	dispersed_SSD	SSD	dispersed	Homeodomain	
ETS1	R1_to_R2	eburgeri	Cyclostomata	6	False	True	True	0	0	0	0	0	1	0	1	0	1	1	1	1	clustered_cis_ohnolog	ohnolog	clustered	Ets	clust0032
ETS2	R1_to_R2	eburgeri	Cyclostomata	5	False	True	True	0	0	0	0	0	1	0	1	0	0	1	1	1	clustered_cis_ohnolog	ohnolog	clustered	Ets	clust0033
ETV1	R1_to_R2	eburgeri	Cyclostomata	8	False	True	True	0	0	0	0	0	1	1	1	1	1	1	1	1	dispersed_ohnolog	ohnolog	dispersed	Ets	
ETV2	after_R2	mmusculus	Mammalia	1	False	False	True	0	0	0	0	0	0	0	0	0	0	0	0	1	dispersed_SSD	SSD	dispersed	Ets	
ETV3	R1_to_R2	eburgeri	Cyclostomata	5	False	True	True	0	0	0	0	0	1	1	0	0	0	1	1	1	clustered_cis_ohnolog	ohnolog	clustered	Ets	clust0030
ETV3L	before_R1	csavignyi	Tunicata	5	True	False	True	0	0	0	0	1	0	0	1	0	0	1	1	1	clustered_cis_ohnolog	ohnolog	clustered	Ets	clust0030
ETV4	before_R1	dmelanogaster	Protostomia	8	True	True	True	0	0	1	1	0	1	0	1	0	1	1	1	1	dispersed_ohnolog	ohnolog	dispersed	Ets	
ETV5	after_R2	cmilii	Chondrichthyes	4	False	False	True	0	0	0	0	0	0	0	1	1	0	0	1	1	dispersed_ohnolog	ohnolog	dispersed	Ets	
ETV6	R1_to_R2	pmarinus	Cyclostomata	5	False	True	True	0	0	0	0	0	0	1	1	0	0	1	1	1	dispersed_ohnolog	ohnolog	dispersed	Ets	
ETV7	R1_to_R2	eburgeri	Cyclostomata	6	False	True	True	0	0	0	0	0	1	0	1	1	1	1	1	0	dispersed_ohnolog	ohnolog	dispersed	Ets	
EVX1	R1_to_R2	eburgeri	Cyclostomata	7	False	True	True	0	0	0	0	0	1	0	1	1	1	1	1	1	dispersed_ohnolog	ohnolog	dispersed	Homeodomain	
EVX2	R1_to_R2	eburgeri	Cyclostomata	7	False	True	True	0	0	0	0	0	1	1	1	0	1	1	1	1	dispersed_ohnolog	ohnolog	dispersed	Homeodomain	
FAM170A	after_R2	mmusculus	Mammalia	1	False	False	True	0	0	0	0	0	0	0	0	0	0	0	0	1	dispersed_SSD	SSD	dispersed	C2H2 ZF	
FAM200B	human_only			0	False	False	False	0	0	0	0	0	0	0	0	0	0	0	0	0	dispersed_SSD	SSD	dispersed	BED ZF	
FBXL19	before_R1	scerevisiae	Fungi	10	True	True	True	1	1	1	1	0	0	1	1	1	1	1	0	1	dispersed_ohnolog	ohnolog	dispersed	CxxC	
FERD3L	before_R1	celegans	Protostomia	8	True	False	True	0	1	1	1	0	0	0	1	0	1	1	1	1	clustered_SSD_tandem	SSD	clustered	bHLH	clust0075
FEV	R1_to_R2	pmarinus	Cyclostomata	6	False	True	True	0	0	0	0	0	0	1	1	0	1	1	1	1	dispersed_SSD	SSD	dispersed	Ets	
FEZF1	R1_to_R2	eburgeri	Cyclostomata	6	False	True	True	0	0	0	0	0	1	0	1	0	1	1	1	1	dispersed_ohnolog	ohnolog	dispersed	C2H2 ZF	
FEZF2	R1_to_R2	eburgeri	Cyclostomata	6	False	True	True	0	0	0	0	0	1	0	1	0	1	1	1	1	dispersed_ohnolog	ohnolog	dispersed	C2H2 ZF	
FIGLA	before_R1	celegans	Protostomia	10	True	True	True	0	1	1	1	1	1	0	1	0	1	1	1	1	dispersed_SSD	SSD	dispersed	bHLH	
FIZ1	before_R1	dmelanogaster	Protostomia	2	True	False	True	0	0	1	0	0	0	0	0	0	0	0	0	1	clustered_SSD_tandem	SSD	clustered	C2H2 ZF	clust0019
FLI1	R1_to_R2	eburgeri	Cyclostomata	7	False	True	True	0	0	0	0	0	1	1	1	0	1	1	1	1	clustered_cis_ohnolog	ohnolog	clustered	Ets	clust0032
FOS	before_R1	dmelanogaster	Protostomia	8	True	True	True	0	0	1	1	0	0	1	1	0	1	1	1	1	clustered_cis_ohnolog	ohnolog	clustered	bZIP	clust0077
FOSB	before_R1	dmelanogaster	Protostomia	7	True	True	True	0	0	1	1	0	0	1	1	0	1	1	0	1	dispersed_ohnolog	ohnolog	dispersed	bZIP	
FOSL1	before_R1	dmelanogaster	Protostomia	9	True	True	True	0	0	1	1	1	1	1	1	0	1	1	0	1	dispersed_ohnolog	ohnolog	dispersed	bZIP	
FOSL2	before_R1	dmelanogaster	Protostomia	9	True	True	True	0	0	1	1	0	1	0	1	1	1	1	1	1	dispersed_ohnolog	ohnolog	dispersed	bZIP	
FOXA1	after_R2	drerio	Actinopterygii	3	False	False	True	0	0	0	0	0	0	0	0	0	1	0	1	1	dispersed_ohnolog	ohnolog	dispersed	Forkhead	
FOXA2	before_R1	celegans	Protostomia	10	True	True	True	0	1	1	1	0	1	1	1	0	1	1	1	1	dispersed_ohnolog	ohnolog	dispersed	Forkhead	
FOXA3	after_R2	mmusculus	Mammalia	1	False	False	True	0	0	0	0	0	0	0	0	0	0	0	0	1	dispersed_ohnolog	ohnolog	dispersed	Forkhead	
FOXB1	before_R1	dmelanogaster	Protostomia	6	True	False	True	0	0	1	0	0	0	0	1	0	1	1	1	1	dispersed_ohnolog	ohnolog	dispersed	Forkhead	
FOXB2	before_R1	celegans	Protostomia	10	True	True	True	0	1	1	0	1	0	1	1	1	1	1	1	1	dispersed_ohnolog	ohnolog	dispersed	Forkhead	
FOXC1	R1_to_R2	eburgeri	Cyclostomata	7	False	True	True	0	0	0	0	0	1	1	1	1	1	1	0	1	clustered_cis_ohnolog	ohnolog	clustered	Forkhead	clust0036
FOXC2	before_R1	dmelanogaster	Protostomia	8	True	True	True	0	0	1	1	0	1	1	1	0	0	1	1	1	clustered_SSD_tandem	SSD	clustered	Forkhead	clust0035
FOXD1	R1_to_R2	eburgeri	Cyclostomata	3	False	True	True	0	0	0	0	0	1	0	0	0	1	0	0	1	dispersed_SSD	SSD	dispersed	Forkhead	
FOXD2	before_R1	dmelanogaster	Protostomia	5	True	True	True	0	0	1	0	0	1	0	1	0	0	1	0	1	clustered_cis_ohnolog	ohnolog	clustered	Forkhead	clust0034
FOXD3	R1_to_R2	eburgeri	Cyclostomata	4	False	True	True	0	0	0	0	0	1	0	0	0	1	1	0	1	dispersed_ohnolog	ohnolog	dispersed	Forkhead	
FOXD4	after_R2	mmusculus	Mammalia	1	False	False	True	0	0	0	0	0	0	0	0	0	0	0	0	1	dispersed_SSD	SSD	dispersed	Forkhead	
FOXD4L1	after_R2	mmusculus	Mammalia	1	False	False	True	0	0	0	0	0	0	0	0	0	0	0	0	1	dispersed_ohnolog	ohnolog	dispersed	Forkhead	
FOXD4L3	after_R2	mmusculus	Mammalia	1	False	False	True	0	0	0	0	0	0	0	0	0	0	0	0	1	dispersed_SSD	SSD	dispersed	Forkhead	
FOXD4L4	after_R2	mmusculus	Mammalia	1	False	False	True	0	0	0	0	0	0	0	0	0	0	0	0	1	dispersed_SSD	SSD	dispersed	Forkhead	
FOXD4L5	after_R2	mmusculus	Mammalia	1	False	False	True	0	0	0	0	0	0	0	0	0	0	0	0	1	dispersed_SSD	SSD	dispersed	Forkhead	
FOXD4L6	after_R2	mmusculus	Mammalia	1	False	False	True	0	0	0	0	0	0	0	0	0	0	0	0	1	dispersed_SSD	SSD	dispersed	Forkhead	
FOXE1	before_R1	cintestinalis	Tunicata	8	True	True	True	0	0	0	1	1	1	0	1	0	1	1	1	1	dispersed_SSD	SSD	dispersed	Forkhead	
FOXE3	after_R2	mmusculus	Mammalia	1	False	False	True	0	0	0	0	0	0	0	0	0	0	0	0	1	clustered_cis_ohnolog	ohnolog	clustered	Forkhead	clust0034
FOXF1	after_R2	cmilii	Chondrichthyes	6	False	False	True	0	0	0	0	0	0	0	1	1	1	1	1	1	dispersed_ohnolog	ohnolog	dispersed	Forkhead	
FOXF2	R1_to_R2	eburgeri	Cyclostomata	3	False	True	True	0	0	0	0	0	1	0	0	0	1	0	0	1	clustered_cis_ohnolog	ohnolog	clustered	Forkhead	clust0036
FOXG1	R1_to_R2	eburgeri	Cyclostomata	6	False	True	True	0	0	0	0	0	1	1	0	0	1	1	1	1	dispersed_SSD	SSD	dispersed	Forkhead	
FOXH1	before_R1	cintestinalis	Tunicata	6	True	True	True	0	0	0	1	0	1	0	1	0	1	1	0	1	dispersed_SSD	SSD	dispersed	Forkhead	
FOXI1	R1_to_R2	eburgeri	Cyclostomata	6	False	True	True	0	0	0	0	0	1	0	1	0	1	1	1	1	dispersed_ohnolog	ohnolog	dispersed	Forkhead	
FOXI2	before_R1	cintestinalis	Tunicata	7	True	True	True	0	0	0	1	1	1	0	1	0	0	1	1	1	dispersed_ohnolog	ohnolog	dispersed	Forkhead	
FOXI3	after_R2	mmusculus	Mammalia	1	False	False	True	0	0	0	0	0	0	0	0	0	0	0	0	1	dispersed_ohnolog	ohnolog	dispersed	Forkhead	
FOXJ1	after_R2	drerio	Actinopterygii	4	False	False	True	0	0	0	0	0	0	0	0	0	1	1	1	1	dispersed_SSD	SSD	dispersed	Forkhead	
FOXJ2	after_R2	xtropicalis	Amphibia	3	False	False	True	0	0	0	0	0	0	0	0	0	0	1	1	1	dispersed_ohnolog	ohnolog	dispersed	Forkhead	
FOXJ3	after_R2	cmilii	Chondrichthyes	4	False	False	True	0	0	0	0	0	0	0	1	1	0	1	0	1	dispersed_ohnolog	ohnolog	dispersed	Forkhead	
FOXK1	R1_to_R2	eburgeri	Cyclostomata	6	False	True	True	0	0	0	0	0	1	1	1	0	1	0	1	1	dispersed_ohnolog	ohnolog	dispersed	Forkhead	
FOXK2	R1_to_R2	eburgeri	Cyclostomata	6	False	True	True	0	0	0	0	0	1	0	1	0	1	1	1	1	dispersed_ohnolog	ohnolog	dispersed	Forkhead	
FOXL1	before_R1	dmelanogaster	Protostomia	7	True	True	True	0	0	1	0	0	1	0	1	0	1	1	1	1	clustered_SSD_tandem	SSD	clustered	Forkhead	clust0035
FOXL2	before_R1	celegans	Protostomia	11	True	True	True	0	1	1	1	1	1	1	1	0	1	1	1	1	dispersed_SSD	SSD	dispersed	Forkhead	
FOXM1	before_R1	cintestinalis	Tunicata	7	True	False	True	0	0	0	1	0	0	0	1	1	1	1	1	1	dispersed_SSD	SSD	dispersed	Forkhead	
FOXN1	before_R1	dmelanogaster	Protostomia	9	True	True	True	0	0	1	1	0	1	1	1	0	1	1	1	1	dispersed_ohnolog	ohnolog	dispersed	Forkhead	
FOXN2	after_R2	cmilii	Chondrichthyes	5	False	False	True	0	0	0	0	0	0	0	1	0	1	1	1	1	dispersed_ohnolog	ohnolog	dispersed	Forkhead	
FOXN3	R1_to_R2	eburgeri	Cyclostomata	7	False	True	True	0	0	0	0	0	1	0	1	1	1	1	1	1	dispersed_ohnolog	ohnolog	dispersed	Forkhead	
FOXN4	after_R2	cmilii	Chondrichthyes	5	False	False	True	0	0	0	0	0	0	0	1	0	1	1	1	1	dispersed_ohnolog	ohnolog	dispersed	Forkhead	
FOXO1	after_R2	cmilii	Chondrichthyes	5	False	False	True	0	0	0	0	0	0	0	1	0	1	1	1	1	dispersed_ohnolog	ohnolog	dispersed	Forkhead	
FOXO3	after_R2	cmilii	Chondrichthyes	4	False	False	True	0	0	0	0	0	0	0	1	0	0	1	1	1	dispersed_ohnolog	ohnolog	dispersed	Forkhead	
FOXO4	after_R2	cmilii	Chondrichthyes	5	False	False	True	0	0	0	0	0	0	0	1	0	1	1	1	1	dispersed_ohnolog	ohnolog	dispersed	Forkhead	
FOXO6	R1_to_R2	eburgeri	Cyclostomata	6	False	True	True	0	0	0	0	0	1	0	0	1	1	1	1	1	dispersed_ohnolog	ohnolog	dispersed	Forkhead	
FOXP1	R1_to_R2	eburgeri	Cyclostomata	7	False	True	True	0	0	0	0	0	1	1	1	1	0	1	1	1	dispersed_SSD	SSD	dispersed	Forkhead	
FOXP2	before_R1	celegans	Protostomia	8	True	True	True	0	1	0	0	0	1	1	1	0	1	1	1	1	dispersed_SSD	SSD	dispersed	Forkhead	
FOXP3	after_R2	xtropicalis	Amphibia	2	False	False	True	0	0	0	0	0	0	0	0	0	0	1	0	1	dispersed_SSD	SSD	dispersed	Forkhead	
FOXP4	after_R2	cmilii	Chondrichthyes	5	False	False	True	0	0	0	0	0	0	0	1	0	1	1	1	1	dispersed_SSD	SSD	dispersed	Forkhead	
FOXQ1	before_R1	cintestinalis	Tunicata	8	True	True	True	0	0	0	1	0	1	1	1	0	1	1	1	1	clustered_cis_ohnolog	ohnolog	clustered	Forkhead	clust0036
FOXR1	after_R2	mmusculus	Mammalia	1	False	False	True	0	0	0	0	0	0	0	0	0	0	0	0	1	dispersed_ohnolog	ohnolog	dispersed	Forkhead	
FOXR2	after_R2	lchalumnae	Sarcopterygii	4	False	False	True	0	0	0	0	0	0	0	0	1	1	1	0	1	dispersed_ohnolog	ohnolog	dispersed	Forkhead	
FOXS1	after_R2	mmusculus	Mammalia	1	False	False	True	0	0	0	0	0	0	0	0	0	0	0	0	1	dispersed_SSD	SSD	dispersed	Forkhead	
GABPA	before_R1	dmelanogaster	Protostomia	8	True	True	True	0	0	1	1	0	1	0	1	0	1	1	1	1	dispersed_SSD	SSD	dispersed	Ets	
GATA1	before_R1	scerevisiae	Fungi	7	True	False	True	1	1	1	1	0	0	0	0	0	1	1	0	1	dispersed_ohnolog	ohnolog	dispersed	GATA	
GATA2	before_R1	scerevisiae	Fungi	12	True	True	True	1	1	1	1	1	1	1	1	0	1	1	1	1	dispersed_ohnolog	ohnolog	dispersed	GATA	
GATA3	before_R1	scerevisiae	Fungi	11	True	True	True	1	1	1	1	0	0	1	1	1	1	1	1	1	dispersed_ohnolog	ohnolog	dispersed	GATA	
GATA4	before_R1	scerevisiae	Fungi	10	True	True	True	1	1	1	0	0	1	1	1	0	1	1	1	1	dispersed_ohnolog	ohnolog	dispersed	GATA	
GATA5	before_R1	scerevisiae	Fungi	8	True	False	True	1	1	1	0	0	0	0	1	0	1	1	1	1	dispersed_ohnolog	ohnolog	dispersed	GATA	
GATA6	before_R1	scerevisiae	Fungi	9	True	True	True	1	1	1	1	0	1	0	0	0	1	1	1	1	dispersed_ohnolog	ohnolog	dispersed	GATA	
GATAD2A	before_R1	celegans	Protostomia	10	True	True	True	0	1	1	1	0	1	1	1	0	1	1	1	1	dispersed_ohnolog	ohnolog	dispersed	GATA	
GATAD2B	before_R1	celegans	Protostomia	9	True	True	True	0	1	1	1	0	1	1	0	0	1	1	1	1	dispersed_ohnolog	ohnolog	dispersed	GATA	
GBX1	before_R1	dmelanogaster	Protostomia	7	True	True	True	0	0	1	0	0	1	0	1	0	1	1	1	1	dispersed_SSD	SSD	dispersed	Homeodomain	
GBX2	before_R1	dmelanogaster	Protostomia	7	True	True	True	0	0	1	0	0	1	0	1	0	1	1	1	1	dispersed_SSD	SSD	dispersed	Homeodomain	
GCM1	before_R1	dmelanogaster	Protostomia	7	True	True	True	0	0	1	0	0	1	1	1	0	0	1	1	1	dispersed_ohnolog	ohnolog	dispersed	GCM	
GCM2	before_R1	dmelanogaster	Protostomia	8	True	True	True	0	0	1	0	0	1	1	1	0	1	1	1	1	dispersed_ohnolog	ohnolog	dispersed	GCM	
GFI1	before_R1	dmelanogaster	Protostomia	8	True	True	True	0	0	1	1	0	1	0	1	0	1	1	1	1	dispersed_ohnolog	ohnolog	dispersed	C2H2 ZF	
GFI1B	after_R2	cmilii	Chondrichthyes	5	False	False	True	0	0	0	0	0	0	0	1	0	1	1	1	1	dispersed_ohnolog	ohnolog	dispersed	C2H2 ZF	
GLI1	after_R2	cmilii	Chondrichthyes	6	False	False	True	0	0	0	0	0	0	0	1	1	1	1	1	1	dispersed_SSD	SSD	dispersed	C2H2 ZF	
GLI2	R1_to_R2	eburgeri	Cyclostomata	6	False	True	True	0	0	0	0	0	1	1	1	1	1	0	0	1	dispersed_SSD	SSD	dispersed	C2H2 ZF	
GLI3	R1_to_R2	eburgeri	Cyclostomata	6	False	True	True	0	0	0	0	0	1	0	0	1	1	1	1	1	dispersed_SSD	SSD	dispersed	C2H2 ZF	
GLI4	human_only			0	False	False	False	0	0	0	0	0	0	0	0	0	0	0	0	0	clustered_cis_ohnolog	ohnolog	clustered	C2H2 ZF	clust0028
GLIS1	R1_to_R2	pmarinus	Cyclostomata	6	False	True	True	0	0	0	0	0	0	1	1	0	1	1	1	1	dispersed_ohnolog	ohnolog	dispersed	C2H2 ZF	
GLIS2	before_R1	dmelanogaster	Protostomia	8	True	True	True	0	0	1	0	0	1	1	1	0	1	1	1	1	dispersed_SSD	SSD	dispersed	C2H2 ZF	
GLIS3	R1_to_R2	eburgeri	Cyclostomata	8	False	True	True	0	0	0	0	0	1	1	1	1	1	1	1	1	dispersed_ohnolog	ohnolog	dispersed	C2H2 ZF	
GLYR1	before_R1	dmelanogaster	Protostomia	7	True	False	True	0	0	1	1	0	0	0	1	0	1	1	1	1	dispersed_SSD	SSD	dispersed	AT hook	
GMEB1	before_R1	celegans	Protostomia	7	True	False	True	0	1	0	1	0	0	0	1	0	1	1	1	1	dispersed_ohnolog	ohnolog	dispersed	SAND	
GMEB2	before_R1	celegans	Protostomia	10	True	True	True	0	1	0	1	0	1	1	1	1	1	1	1	1	dispersed_ohnolog	ohnolog	dispersed	SAND	
GRHL1	before_R1	celegans	Protostomia	8	True	False	True	0	1	1	1	0	0	0	1	0	1	1	1	1	dispersed_ohnolog	ohnolog	dispersed	Grainyhead	
GRHL2	before_R1	celegans	Protostomia	11	True	True	True	0	1	1	1	0	1	1	1	1	1	1	1	1	dispersed_ohnolog	ohnolog	dispersed	Grainyhead	
GRHL3	before_R1	celegans	Protostomia	8	True	False	True	0	1	1	1	0	0	0	1	0	1	1	1	1	dispersed_ohnolog	ohnolog	dispersed	Grainyhead	
GSC	after_R2	cmilii	Chondrichthyes	5	False	False	True	0	0	0	0	0	0	0	1	0	1	1	1	1	dispersed_SSD	SSD	dispersed	Homeodomain	
GSC2	R1_to_R2	eburgeri	Cyclostomata	6	False	True	True	0	0	0	0	0	1	0	1	1	0	1	1	1	dispersed_SSD	SSD	dispersed	Homeodomain	
GSX1	before_R1	celegans	Protostomia	7	True	False	True	0	1	1	1	0	0	0	0	0	1	1	1	1	clustered_cis_ohnolog	ohnolog	clustered	Homeodomain	clust0043
GSX2	before_R1	dmelanogaster	Protostomia	10	True	True	True	0	0	1	1	1	1	1	1	0	1	1	1	1	dispersed_ohnolog	ohnolog	dispersed	Homeodomain	
GTF2I	after_R2	cmilii	Chondrichthyes	5	False	False	True	0	0	0	0	0	0	0	1	1	0	1	1	1	clustered_SSD_tandem	SSD	clustered	GTF2I-like	clust0037
GTF2IRD1	after_R2	cmilii	Chondrichthyes	6	False	False	True	0	0	0	0	0	0	0	1	1	1	1	1	1	clustered_SSD_tandem	SSD	clustered	GTF2I-like	clust0037
GTF2IRD2	after_R2	mmusculus	Mammalia	1	False	False	True	0	0	0	0	0	0	0	0	0	0	0	0	1	dispersed_SSD	SSD	dispersed	GTF2I-like	
GTF2IRD2B	after_R2	mmusculus	Mammalia	1	False	False	True	0	0	0	0	0	0	0	0	0	0	0	0	1	dispersed_SSD	SSD	dispersed	GTF2I-like	
GTF3A	before_R1	celegans	Protostomia	9	True	True	True	0	1	1	0	0	1	1	1	0	1	1	1	1	dispersed_ohnolog	ohnolog	dispersed	C2H2 ZF	
GZF1	R1_to_R2	eburgeri	Cyclostomata	6	False	True	True	0	0	0	0	0	1	1	1	0	0	1	1	1	dispersed_SSD	SSD	dispersed	C2H2 ZF	
HAND1	before_R1	celegans	Protostomia	8	True	False	True	0	1	1	1	0	0	0	1	1	0	1	1	1	dispersed_ohnolog	ohnolog	dispersed	bHLH	
HAND2	before_R1	celegans	Protostomia	9	True	True	True	0	1	1	1	0	1	0	1	0	1	1	1	1	dispersed_ohnolog	ohnolog	dispersed	bHLH	
HBP1	R1_to_R2	eburgeri	Cyclostomata	8	False	True	True	0	0	0	0	0	1	1	1	1	1	1	1	1	dispersed_SSD	SSD	dispersed	HMG/Sox	
HDX	before_R1	celegans	Protostomia	10	True	True	True	0	1	1	1	0	1	1	1	0	1	1	1	1	dispersed_SSD	SSD	dispersed	Homeodomain	
HELT	before_R1	scerevisiae	Fungi	10	True	True	True	1	0	1	1	0	1	1	1	0	1	1	1	1	dispersed_SSD	SSD	dispersed	bHLH	
HES1	before_R1	scerevisiae	Fungi	10	True	True	True	1	0	1	1	0	1	0	1	1	1	1	1	1	dispersed_ohnolog	ohnolog	dispersed	bHLH	
HES2	before_R1	scerevisiae	Fungi	9	True	False	True	1	0	1	1	0	0	0	1	1	1	1	1	1	dispersed_SSD	SSD	dispersed	bHLH	
HES3	before_R1	scerevisiae	Fungi	7	True	False	True	1	0	1	1	0	0	0	1	0	1	1	0	1	dispersed_SSD	SSD	dispersed	bHLH	
HES4	before_R1	dmelanogaster	Protostomia	8	True	True	True	0	0	1	1	0	1	1	1	0	1	1	1	0	dispersed_ohnolog	ohnolog	dispersed	bHLH	
HES5	before_R1	scerevisiae	Fungi	6	True	True	True	1	0	1	0	1	1	0	0	0	1	0	0	1	dispersed_SSD	SSD	dispersed	bHLH	
HES6	before_R1	scerevisiae	Fungi	7	True	False	True	1	0	1	1	0	0	0	0	0	1	1	1	1	dispersed_SSD	SSD	dispersed	bHLH	
HES7	before_R1	scerevisiae	Fungi	6	True	False	True	1	0	1	1	0	0	0	0	0	1	1	0	1	dispersed_SSD	SSD	dispersed	bHLH	
HESX1	after_R2	cmilii	Chondrichthyes	4	False	False	True	0	0	0	0	0	0	0	1	0	0	1	1	1	dispersed_SSD	SSD	dispersed	Homeodomain	
HEY1	before_R1	scerevisiae	Fungi	9	True	True	True	1	0	1	1	0	1	0	1	0	1	1	1	1	dispersed_ohnolog	ohnolog	dispersed	bHLH	
HEY2	before_R1	scerevisiae	Fungi	8	True	False	True	1	0	1	1	0	0	0	1	0	1	1	1	1	dispersed_ohnolog	ohnolog	dispersed	bHLH	
HEYL	before_R1	scerevisiae	Fungi	8	True	True	True	1	0	1	1	0	1	0	1	0	1	0	1	1	dispersed_ohnolog	ohnolog	dispersed	bHLH	
HHEX	after_R2	cmilii	Chondrichthyes	2	False	False	True	0	0	0	0	0	0	0	1	0	0	1	0	0	dispersed_SSD	SSD	dispersed	Homeodomain	
HIC1	after_R2	cmilii	Chondrichthyes	5	False	False	True	0	0	0	0	0	0	0	1	0	1	1	1	1	dispersed_SSD	SSD	dispersed	C2H2 ZF	
HIC2	R1_to_R2	eburgeri	Cyclostomata	7	False	True	True	0	0	0	0	0	1	1	1	0	1	1	1	1	dispersed_SSD	SSD	dispersed	C2H2 ZF	
HIF1A	before_R1	celegans	Protostomia	9	True	False	True	0	1	1	1	0	0	0	1	1	1	1	1	1	dispersed_ohnolog	ohnolog	dispersed	bHLH	
HIF3A	before_R1	celegans	Protostomia	5	True	False	True	0	1	1	1	0	0	0	0	0	1	0	0	1	dispersed_ohnolog	ohnolog	dispersed	bHLH	
HINFP	before_R1	celegans	Protostomia	11	True	True	True	0	1	1	1	1	1	1	1	0	1	1	1	1	dispersed_SSD	SSD	dispersed	C2H2 ZF	
HIVEP1	R1_to_R2	eburgeri	Cyclostomata	7	False	True	True	0	0	0	0	0	1	0	1	1	1	1	1	1	dispersed_ohnolog	ohnolog	dispersed	C2H2 ZF	
HIVEP2	R1_to_R2	eburgeri	Cyclostomata	8	False	True	True	0	0	0	0	0	1	1	1	1	1	1	1	1	dispersed_ohnolog	ohnolog	dispersed	C2H2 ZF	
HIVEP3	R1_to_R2	eburgeri	Cyclostomata	7	False	True	True	0	0	0	0	0	1	1	1	0	1	1	1	1	dispersed_ohnolog	ohnolog	dispersed	C2H2 ZF	
HLF	before_R1	celegans	Protostomia	8	True	False	True	0	1	1	1	0	0	0	0	1	1	1	1	1	dispersed_ohnolog	ohnolog	dispersed	bZIP	
HLX	before_R1	dmelanogaster	Protostomia	8	True	True	True	0	0	1	1	0	1	1	0	0	1	1	1	1	dispersed_SSD	SSD	dispersed	Homeodomain	
